ID;Question;AnswerOne;AnswerTwo;AnswerThree;AnswerFour;Correct;Argument
141;Placing the TEST switch in the FAULT/INOP position tests:;The engine overheat detectors;The fault detection circuits for both engines and the APU;"The APU DET INOP light, FAULT light and APU BOTTLE
DISCHARGE light";"The APU DET INOP light and the engine overheat
detectors";2;Fire protection
142;Engine Fire Detection requires:;"Both detector loops must sense a fire or overheat
condition";One detector loop is not sufficient for detection;All three loops are needed for detection;None of the answers are correct;1;Fire protection
143;Pulling the APU Fire Warning Switch:;Closes the APU air inlet door;"Trips the APU generator control relay and breaker, arms the APU fire extinguisher bottle squib and closes the APU
bleed air valve";Closes the APU fuel shutoff valve, allows the APU fire warning switch to be rotated for discharge;All the answers are correct;4;Fire protection
144;The power source for engine fire extinguishing is:;Transfer bus N°1;The switched hot battery bus;The hot battery bus;None of the answers are correct;3;Fire protection
145;Prior to perform the OVHT/FIRE TEST with the APU operating:;Ground personnel should be notified;Have handheld fire extinguisher ready;B system hydraulic pressure is required;Battery switch is not required to be on;1;Fire protection
146;The illumination of the engine/overheat detector FAULT light:;Will cause the illumination of the MASTER CAUTION Light;Will trip the generator field circuit breaker;Indicates that both loops on an engine have failed;There is a fire in one of the engines;3;Fire protection
147;Yaw damper inputs either main or standby can be overridden:;Only when the yaw damper switch is off;By trim inputs but no rudder pedal inputs;By rudder pedal inputs but no trim inputs;By either trim or rudder pedals inputs;4;Flight Controls
148;"If wheel spin-up is not detected on landing with the SPEED BRAKE armed, the
flight spoilers will deploy automatically:";Only when the right main landing gear strut is compressed;"When the air/ground system senses ground mode (any
gear strut compresses)";When the ground spoilers deploy;"Flight spoilers do not deploy on landing, only ground
spoilers deploy";2;Flight Controls
149;The number of slats located on each wing is:;2;3;4;6;3;Flight Controls
150;When the Standby Yaw Damper is active, rudder movements:;Are indicated by the yaw damper indicator;Are not indicated on the yaw damper indicator;Are indicated on the standby yaw damper indicator;None of the answers are correct;2;Flight Controls
151;Conditions for speed trim operation include:;The autopilot not engaged;10sec following release of trim switches;Airspeed between 120KIAS and Mach 0.50;All the answers are correct;1;Flight Controls
152;Main electric trim authority limit is (flaps up):;With flaps retracted 3.95 to 14.5 units;With flaps retracted 3.95 to 12.5 units;With flaps extended .20 to 16.9 units;With flaps extended .50 to 14.5 units;1;Flight Controls
153;Autopilot trim and stabilizer trim:;Use separate electric trim motors;Use the same electric trim motor;Use separate hydraulically driven systems;Use the same hydraulically driven system;2;Flight Controls
154;In the event of a control column jam an override mechanism allows:;"For lighter than normal forces to be used on the control
column for take off or landing";The control columns to be physically separated;"Either crew member to apply force against the jam to
breakout the Captain’s control column only";"The elevator feel and centring unit to transfer proper
aerodynamic forces to the control columns";2;Flight Controls
155;How many flight spoilers are located on the upper surface of each wing?;2;3;4;6;3;Flight Controls
156;The Trailing Edge devices consist of:;Double slotted flaps inboard and outboard of each engine;Single slotted flaps inboard and outboard of each engine;Krueger flaps inboard of each engine;Krueger flaps inboard of each engine;1;Flight Controls
157;The Flaps Load Relief system is operative at:;All flaps setting;Flaps 25, 30 and 40;Flaps 30 and 40;Flaps 40 only;3;Flight Controls
158;The flap/slat electronics unit (FSEU) provides:;"LE skew detection for slats 2 through 7 except during
autoslat operations";TE asymmetry protection;"Uncommanded motion protection for LE devices or TE
flaps";All the answers are correct;4;Flight Controls
159;"The Trailing Edge flaps are at 15. The correct indications on the LE DEVICES
annunciator panel for the leading devices is:";All amber TRANSIT lights illuminated;All LE devices FULL EXT lights illuminated;ALL LE devices EXT lights illuminated;"LE slats EXT lights and LE flaps FULL EXT lights
illuminated";2;Flight Controls
160;"During descent, you need to decrease your airspeed by using your speed
brakes. What is the correct position for SPEED BRAKE LEVER?";ARMED;FLIGHT DETENT;UP;Any intermediate position;2;Flight Controls
161;What is the maximum flap extension altitude?;10000ft;17000ft;20000ft;23000ft;3;Flight Controls
162;The ALTERNATE FLAPS Master switch to ARM:;Fully extend the LE devices electrically, and extends the TE flaps using standby hydraulic pressure;Closes the flight spoiler shutoff valve;Activates the standby hydraulic pump and pressurizes the standby rudder control unit;Arms the ALTERNATE FLAPS Position switch, activates the standby pump and closes the TE flap bypass valve;4;Flight Controls
163;The amber LE FLAPS TRANSIT light:;Indicates all LE devices are fully extended;Indicates LE slats are fully extended;Is inhibited during autoslat operation in flight;Provides TE flaps asymmetry protection;3;Flight Controls
164;The autoslats system:;Provides for slats deployment above Vmo/Mmo;"Drives the LE slats to full extended position when the TE
flaps 1 through 5 are selected and the aeroplane approaches a stall";Is normally powered by hydraulic system A;Is normally powered by the Power Transfer Unit (PTU);2;Flight Controls
165;"The Power Transfer Unit (PTU) provides an alternate source of power for
autoslat system if:";A loss of hydraulic system A pressure is sensed;The hydraulic system A engine driven pump is inoperative;"The alternate flaps position switch is momentarily held
down";"Loss of pressure is sensed from higher volume system B
engine driven pump";4;Flight Controls
166;"In addition to SYSTEM A and B, the rudder can also be powered by the
Standby Hydraulic System through the:";System A standby rudder power control unit;System B standby rudder power control unit;Standby rudder power control unit (PCU);Main rudder power control unit;3;Flight Controls
167;"Elevator Feel System is provided by elevator feel computer. This computer
receives inputs of:";Altitude and elevator position;Elevator balance tabs position;Only system A hydraulic pressure;Airspeed and stabilizer position;4;Flight Controls
168;The amber FEEL DIFF PRESS light illuminates the:;TE flaps are up or down and an excessive differential pressure exists in the elevator feel computer;Flaps are not up and a hydraulic pressure imbalance is detected or one of the elevator feel pilot system fails;Flaps are up or down and a hydraulic pressure imbalance is detected or if one of the elevator pilot system fails;None of the answers are corrected;1;Flight Controls
169;Select the correct statement:;"The primary flight controls are powered by hydraulic SYSTEM A and B, with backup from the standby hydraulic system for the rudder and manual reversion for the
ailerons and the elevator";Flight spoilers are used both for roll control, descent and deceleration;The TE flaps can be both extended and retracted using the alternate extension system;All statements are correct;4;Flight Controls
170;LOSS OF SYSTEM B pressure:;Does not disengage the YAW DAMPER switch;Does disengage the YAW DAMPER switch;"Does not disengage the YAW DAMPER switch, but the
light illuminates";"Does disengage the YAW DAMPER switch and the yaw
damper light illuminates";1;Flight Controls
171;When you place the ALTERNATE FLAPS Position switch to the DOWN position:;Extends the LE devices to the intermediate position using standby hydraulic pressure and if held in the down position, electrically extends the TE flaps until released;Extends the LE devices to intermediate position using standby hydraulic pressure and electrically extend the TE flaps after actuated momentarily;Fully extend the LE devices using standby hydraulic pressure and if held in to the DOWN position, electrically extends the TE flaps after actuated momentarily;Fully extends the LE devices using standby hydraulic pressure and if momentary positioned to the DOWN position, electrically extends the TE flaps until released;3;Flight Controls
172;The ALTERNATE FLAPS Position switch is spring loaded to the OFF position:;From the down position and from up position;From the down position only;From the up position only;"From neither, is not spring loaded to either the up or down
position";2;Flight Controls
173;"If you looses the SYSTEM B pressure, will the YAW DAMPER switch move to
OFF position?";"No, the switch stays in the ON position until the FLT
CONTROL B switch is placed to the STBY RUD";No, the switch never disengages, its required for flight;Yes, the switch disengages immediately;"No, the yaw damper is powered by the system A
pressure";1;Flight Controls
174;What is the function of yaw damper?;Prevents dutch roll;Dampens gust;Helps coordinate turn;All the answers are correct;4;Flight Controls
175;What causes the FEEL DIFF PRESS light to illuminate?;"Excessive differential pressure in the elevator feel
computer";Failure of either hydraulic SYSTEM (A or B);Failure of either elevator feel pilot system;All the answers are correct;4;Flight Controls
176;"The Speed Trim System (STS) improves flight characteristics during operations
with:";Low gross weight and aft center of gravity;High thrust;Autopilot not engaged;All the answers are correct;4;Flight Controls
177;Conditions for speed trim operation are:;Airspeed between 100 KIAS and Mach 0.60;10sec after takeoff;5sec following release of trim switches;All the answers are correct;4;Flight Controls
178;Conditions for speed trim operation are:;High thrust setting;Autopilot not engaged;Sensing of trim requirement;All the answers are correct;4;Flight Controls
179;Mach Trim System:;Provides stability at mach numbers above .615;Adjusts the elevators with respect to the stabilizer as airspeed increases;"The Mach Trim actuator repositions the elevator feel and centering unit which adjust the control column neutral
position";All the answers are correct;4;Flight Controls
180;What flaps setting are required for autoslat to function?;1, 2 or 5;1, 5 or 15;5, 15, or 30;Any flap setting;1;Flight Controls
181;"As the aeroplane approaches stall angle, the autoslat system causes the slats
automatically to drive to the:";Up position;Full extended position;Intermediate position;Extend position;2;Flight Controls
182;SYSTEM A pressure to the rudder PCU is reduced at what airspeed?;125KIAS;135KIAS;145KIAS;155KIAS;2;Flight Controls
183;The number of ground spoilers on each wing is:;2;3;4;6;1;Flight Controls
184;The decision height or minimum altitude reference display on the CDS is set:;Automatically when the approach is selected;"Independently by each pilot by using left or right EFIS
control panel";"By entering the desired DH on the FMC CDU APPROACH
REFERENCE page";"By using the DH selector knob on the forward instrument
panel";2;Flight instrument display
185;"With the CONTROL PANEL Select Switch, on the DISPLAYS Source Panel, in
BOTH ON 2 position:";"The selected EFIS control panel provides input for both
sets of pilot displays";Both pilot’s displays are using the No.2 symbol generator;DEU 2 control all six displays units;"ADIRU inputs for both the left and right ADIRU are
received from the FO’s pitot probe";1;Flight instrument display
186;"The aeroplane is on the ground and the flight recorder switch is normal. The
flight recorder:";Operates anytime electrical power is available;Operates when either engine is running;Operates whenever the Battery switch is ON;Both A and B are correct;2;Flight instrument display
187;"What will occur if the aeroplane pitch attitude reaches the pitch limit indicator
when the flaps are not up?";The aeroplane stalls;The aeroplane will experience initial stall buffet;Stick shaker activation for existing flight conditions;The stick shaker pushes the control column forward;3;Flight instrument display
188;A scaled representation of the holding pattern is displayed when:;"The selected range is 80nm or less and the aeroplane is
within 3min of the holding fix";"A selected range is 160nm or less and the aeroplane is
within 5min of the holding fix";A holding pattern is a fixed size;All of the answers are correct;1;Flight instrument display
189;"The position trend vector segments extending from the aeroplane symbol on th
navigation displays represent:";"A predictions position of the aeroplane at the end of 30,
60 and 90sec intervals";A presentation of aeroplane’s pitch attitude;An indication of the aeroplane true airspeed;All the answers are correct;1;Flight instrument display
190;The navigation display’s wind arrow with wind direction/speed is:;Displayed if wind magnitude is greater than 6kt;Blanked if wind speed become less than 5kt;Displayed only in the EHSI MAP mode;Displayed only when flying an ILS approach;1;Flight instrument display
191;ROLL displayed in amber in the lower portion of the Attitude Indicator means:;The aeroplane has exceeded 40° of bank;No F/D or autopilot roll mode has been engaged;Captain’s roll attitude is more than 3° in error;"Captain’s and FO’s roll angle displays differ by more than
5°";4;Flight instrument display
192;"The First Officer observes the word PITCH displayed in amber in the lower
portion of the Attitude Indicator during an ILS approach. This means:";The autopilot has defaulted to CWS pitch;The glide slope is not being tracked;"Captain’s and FO’s pitch angle displays differ by more
than 5°";FO’s pitch displays more than 3° in error;3;Flight instrument display
193;"During an ILS approach the crew observes the Radio Altitude Indication read
out turns amber:";The radio altitude data is unreliable;"The aeroplane has descended below the selected radio
altitude minimums";A windshear has been encountered;The aeroplane has descended below 1000ft;2;Flight instrument display
194;The CDS FAULT annunciation:;Is displayed in flight only;Is displayed on the ground only;Is a dispatchable fault;Is displayed after the second engine start;2;Flight instrument display
195;The NO VSPD flag is displayed:;When all V-speeds are selected;When V1 or VR has not been entered or is invalid;If the airspeed indicator is inoperative;Prior to selecting Vref;2;Flight instrument display
196;An amber DSPLY SOURCE annunciation indicates:;"The altimeter is receiving inputs from a source other that
ADIRU and should be considered unreliable unless verified by another source";A single DEU has been manually selected or automatically selected to drive all six display units;A non-dispatchable CDS fault has occurred;A single EFIS control panel provides input for both sets of pilot displays;2;Flight instrument display
197;Operational turbulence penetration speed is:;285KIAS/.72M;280KCAS/.75M;280KIAS/.76M;280KTAS/.75M;3;Limitations
198;"The maximum demonstrated takeoff and landing crosswind is         kt (winglet
aeroplane):";25kt;38kt;36kt;33kt;4;Limitations
199;The maximum cabin differential pressure (relief valves) is:;11.1psi;9.1psi;7.3psi;8.5psi;2;Limitations
200;Fuel system limitation for temperature using Jet A, Jet A1 or JP 5 is:;Max temperature 49°C;"Min temperature 3°C below the freezing point of the fuel
being used";Min temperature -43°C;Max temperature 40°C;1;Limitations
201;"Operation with assumed temperature reduced takeoff thrust is not permitted
with:";Inoperative alternate nose wheel steering;Inoperative RTO mode;Inoperative antiskid;Inoperative alternate brakes;3;Limitations
202;Do not deploy the speedbrakes in flight at radio altitudes less than:;700ft;400ft;1500ft;1000ft;4;Limitations
203;"When using the ALTERNATE FLAPS MASTER SWITCH during loss of hydraul
System B the maximum speed is:";230kt;235kt;270kt;No speed restriction;1;Limitations
204;During loss of both engine driven generators, and main tank fuel pumps inoperative, thrust deterioration or engine flameout may occur at whet altitude?;30000ft and above;25000ft and above;33000ft and above;Any altitude below 30000ft;1;Limitations
205;"During RAPID DEPRESSURIZATION QRH check list recall items, the PASS
OXYGEN switch is activated when:";Cabin altitude exceeds 15000ft;Cabin altitude is 12500ft or lower;Cabin altitude is 14000ft;Cabin altitude is uncontrollable;4;Limitations
206;"The maximum allowable wind speeds when conducting a dual channel CAT II or
III landing are predicted on autoland operations?";Headwind 20kt;Tailwind 10kt;Crosswind 20kt;All of the answers are correct;4;Limitations
207;What is the maximum airspeed limit with a WINDOW OVERHEAT?;250kt;280kt;250kt below 10000ft;280kt below 10000ft;3;Limitations
208;What is the maximum flap extension altitude?;20000ft;15000ft;25000ft;30000ft;1;Limitations
209;What is the wheel base distance between main landing gear?;5.7m;6.1m;6.9m;7.7m;1;Limitations
210;What is the minimum width of pavement for 180° turn?;24.0m;23.5m;26.2m;22.7m;1;Limitations
211;What is the minimum wing tip radius?;22.9m;24.8m;26.2m;21.8m;1;Limitations
212;The purpose of Minimum Equipment List is to allow the operator to:;"Operate the aeroplane in various nonstandard configuration approved by the appropriate regulatory
agency (Civil Aviation Authority)";Ferry the aeroplane to next destination with revenue pax aboard;Conduct flight operations for 10 consecutive days before repair the item is made;Conduct flight solely at Commander discretion in non emergency conditions;1;Limitations
213;"Items for which the Authority feels special procedures are necessary are identified by an (M) and/or (O). Items in the Minimum Equipment List preceded
by an (O) indicates?";Normal Flight Crew procedures modified or supplemented to account for the inoperative item;"A requirement for a specific operations procedure which must be accomplished in planning for and/or operating
with the listed item inoperative";Operations are approved for 3 consecutive days before repairs are made;Specific procedures accomplished only by maintenance personnel;2;Limitations
214;For narrow runway operations, reduce crosswind limits by:;2kt per meter of width less than 40m;1kt per meter of width less than 45m;1kt per meter of width less than 40m;2kt per meter of width less than 45m;3;Limitations
215;Operational limitation for runway slope is:;+/- 4%;+/- 3%;+2%;+/- 2%;4;Limitations
216;"The allowable lateral imbalance between main tanks 1 and 2 must be schedule
to be:";Zero;Within 453kg for all flight conditions;Within 453kg for taxi and takeoff;Within 453kg for flight and landing;1;Load balance and servicing
217;To gain access to the aeroplane batteries:;Remove the access panel above the E/E compartment;Remove the aft access panel in the nose wheel well;Remove the  forward access panel in the nose wheel well;"Remove the forward access panel in the forward cargo
compartment";4;Load balance and servicing
218;"During refueling operations, the FUEL Quantity Indicators begin to flash on and
off at a one second intervals. That indicate that:";The fuel tank test is in progress;The tank is empty and ready for refueling;The tank is filled beyond his capacity;The system is inoperative;3;Load balance and servicing
219;To refill oil to the APU, is added:;To the left side of accessory section on the APU;To the right side of accessory section on the APU;To a designated reservoir on the right side of the APU;To a designated reservoir on the left side of the APU;1;Load balance and servicing
220;"When connecting external pneumatic to aeroplane, what is the maximum
pressure?";100psi;90psi;85psi;60psi;4;Load balance and servicing
221;"To manually service the hydraulic reservoir the 3 position selector valve needs
to be moved to the correct position. The valve located in the:";Right wheel well below the manual suction pump;Right wheel well above the manual suction pump;Left wheel well above the N°1 electric pump;Left wheel well below the N°1 electric pump;2;Load balance and servicing
222;"To have several brake or parking brake applications the Hydraulic  Brake
Accumulator Pressure must be:";1000psi;1500psi;Fully charged, 2800-3000psi;Greater than 500psi;3;Load balance and servicing
223;Choose the best answer. Takeoff trim setting is chosen to produce:;Reasonable rotation column forces;An aeroplane that is nearly in trim at V2 engine out;An aeroplane that is nearly in trim at V2+15 all engine;All of the answers are correct;4;Load balance and servicing
224;"At what fuel quantity would you see the amber IMBAL indication between main
tank quantity displays on the Upper Display Unit?";When main tanks differ by more than 91kg;When main tanks differ by more than 363kg;When main tanks differ by more than 453kg;When main tanks differ by more than 726kg;3;Load balance and servicing
225;"How many drain masts are installed on the bottom of the fuselage for the
purpose of draining waste water from the lavatory wash basins and galley?";1;2;3;4;2;Load balance and servicing
226;Magnetic variation stored in each IRS memory is between:;70°15’ N and 70°15’ S;73°N and 60°S;82°N and 82°S;78°25’ N and 78° 25’ S;3;Flight management, navigation
227;LNAV will:;Engages if the aeroplane is within 3nm of the LNAV course;Arms if the aeroplane is on an intercept heading of 90° or more regardless of the distance from the LNAV course;Engages if the aeroplane is on an intercept heading of 90° or less and the intercept will occur before the active waypoint;"Engages if the aeroplane is within 3nm of active route or engage if the aeroplane is on an intercept heading of 90° or less and the intercept will occur before the active
waypoint";4;Flight management, navigation
228;"An acceptable required time of arrival entry found on the ACT RTA
PROGRESS page 3/4 is:";10/30/45;10304;10/30.5;103045B;4;Flight management, navigation
229;If an engine fails during flight:;Execution  of the ENGINE OUT page disengages VNAV and all subsequent performance predictions are blanked;"Execution  of the ENGINE OUT page disengages VNAV and all  performance data must be reentered before
VNAV can be reengaged";Selecting the ENG OUT CRZ page provides information only. The execute light does not illuminate;VNAV immediately disengage and cannot be reengage;3;Flight management, navigation
230;"Which data is available by line selecting the RTA DATA prompt on the ACT RT
LEGS page.";FMC calculated speed and altitude data for each waypoint;"Manually entered speed and altitude restrictions for each
waypoint";ETA and forecast wind data for each cruise waypoint;All the answers are correct;3;Flight management, navigation
231;When an active database expires in flight:;"The expired database continues to be used until the active
date is changed after landing";All waypoints on the ACT RTE LEGS page are deleted;Only entries in the temporary database are reliable;No entries are permitted in the temporary database;1;Flight management, navigation
232;The FMC supplies a default required navigation performance (RNP) value that:;Should not exceed actual navigation performance;"With RNP exceeded the message “RNP EXCEEDED”
appears in the scratch pad";Is shown on the POS SHIFT page 3/3 only;"Is used for en-route, oceanic, terminal and approach
phase of flight";4;Flight management, navigation
233;What does the DES NOW prompt on the PATH DES page provide?;It provides a DES NOW display in ACT or MOD mode;"Execution allows early initiation of a SPD descent at
1000fpm until intercepting the computed path";"Execution allows early initiation of a PATH descent at
1000fpm until intercepting the computed path";"It arms the DES NOW function and extinguishes the exec
light";3;Flight management, navigation
234;"During an IRS alignment a flashing white ALIGN light indicates that alignment
cannot be completed due to IRS detection of:";"Entered Lat/Lon position is not within 4nm of origin
aerodrome";No present position has been entered;"Entered Lat/Long position does not pass the IRS internal
comparison test";All the answers are correct;4;Flight management, navigation
235;The transition altitude of the PERF INIT page:;Displays 10000ft at FMC power up;"Can change if a different departure is selected with a
different transition altitude";Cannot be manually changed by the crew;"Is automatically entered when the TRIP/CRZ altitude is
entered";2;Flight management, navigation
236;Zero fuel weight is:;Not normally required on the PERF INIT page;"Automatically displayed if aeroplane gross weight is
entered first and fuel on board is valid";The aeroplane gross weight minus reserves;None of the answers are correct;2;Flight management, navigation
237;After completing the FMC CDU preflight actions, you look at the POS INIT page again. The SET IRS POS line is missing. What is required?;Nothing. This is a normal indication once the both IRSs have transitioned to the navigation mode;Re-enter the aerodrome of origin Lat/Long;"The alignment was not performed, cycle the IRSs to OFF
and start a new alignment, then re-enter gate Lat /Long position";Return to ALIGN, then NAV and enter the GPS Lat/Long into the left or right IRS unit;1;Flight management, navigation
238;A company route (CO ROUTE):;Can be entered in flight or on the ground;"Can only include origin and destination aerodromes with
connecting en-route airways";"Is called up from the navigation database by entering the
route identifier";Is required for trip lengths in excess of 400nm;3;Flight management, navigation
239;Which factor is not considered in the TRIP/CRZ ALT computation?;GROSS WT;COST INDEX;ORIGIN;RESERVES;4;Flight management, navigation
240;What does MOD on the RTE LEGS page indicate?;The route has been altered and cannot be changed;The route has been altered;The destination is Modesto;"MOD mean exceedance of the minimum operational
distance";2;Flight management, navigation
241;BYPASS notification occurs on the RTE LEGS page when:;A route discontinuity appears;"It is impossible for the aeroplane to turn and capture the
leg to the next waypoint";The crew decides to fly around the active waypoint;None of the answers are correct;2;Flight management, navigation
242;The SELECT DESIRED WPT page:;"Automatically appears when entering a waypoint in the
scratch pad";Appears anytime a unique waypoint is selected;"Is automatically displayed when the FMC encounters
more than one identifier for the same waypoint name";Must be used to select each waypoint along the route;3;Flight management, navigation
243;On the RTE page invalid VIA entries are:;"Airways and company routes which do contain the VIA
waypoints of the previous line";"Airways and company routes that are in the navigation
database";"Airways and company routes that are in the performance
database";"Airways and company routes which do not contain the TO
waypoints of the previous line";4;Flight management, navigation
244;On the DEP/ARR INDEX page:;Selecting the OTHER DEP/ARR prompts displays information from the alternate destination page;DEP/ARR information on the OTHER line will be displayed for the aerodrome entered in the scratch pad;The OTHER line is used to select a departure/arrival procedure at the alternate aerodrome;All of the answers are correct;2;Flight management, navigation
245;Standard Instrument Departures (SIDS):;"Will not be display on the departures page until a runway
is entered on the route page";"Are displayed on the DEPARTURE page for all
aerodrome runways";Are not listed in the FMC database;Cannot be entered on the ROUTE page;2;Flight management, navigation
246;The FIX INFO page:;"Will display radial and distance information for all
waypoints worldwide";"Will display ETA and DTG when a distance entered
intersects the active route";Can be used to enter waypoints into the active route;"Displays radial and distance from the fix to the aeroplane
only when that page is initially selected";2;Flight management, navigation
247;When aligning the IRS between 78°15’ North and South latitude:;Rotate the MSU switch from OFF to ALIGN;"Alignment time will vary from 5min to 17min depending on
the aeroplane latitude";"The alignment process begins when the ON DC light
illuminates and the ALIGN light extinguishes";Aeroplane present position is not a required entry;2;Flight management, navigation
248;The fuel quantity displayed on the PROGRESS page 1/4 is:;Wing tank fuel only;Center tank fuel only;"The present total fuel quantity remaining as obtained from
the aeroplane fuel quantity indication system";"Total fuel used since engine start, based on inputs to the
FMC";3;Flight management, navigation
249;Waypoints on the RTE LEGS page can be entered and moved. This includes:;Adding new waypoints;Deleting existing waypoints;Resequencing new waypoints;All of the answers are correct;4;Flight management, navigation
250;The purpose of the FIX INFO page is to:;Identify waypoint fixes for display on the navigation display;Copy information into the route, if desired;"Determine ETA and DTG where a radial or distance
intersects the active route";All of the answers are correct;4;Flight management, navigation
251;Descend now (DES NOW):;Is displayed on the DES page when the page is active;"On the PATH DES page, execution allows early initiation of a PATH descent at 1000 fpm until intercepting the
computed path";Is blank for any SPD DES page if a path decent is not available;All of the answers are correct;2;Flight management, navigation
252;"To climb in the shortest horizontal distance, MAX ANGLE should be selected on
this FMC page:";CRZ;PROG;CLB;PERF;3;Flight management, navigation
253;On the CDU, how is the MOD CRZ CLB page automatically displayed?;Entering a higher cruise altitude on the CRZ page;Pressing the CLB Mode Key during cruise;"Entering a higher cruising altitude in the STEP TO line on
the CRZ page";All of the answers are correct;1;Flight management, navigation
254;On the CRZ page the turbulence N1 (TURB N1):;Is selected to the scratch pad on the CRZ page and transferred to the N1 LIMIT page for activation;Is executed on the CRZ page;Display proper N1 for turbulence penetration. The value is for reference only. It is not commanded to the A/T;Is the minimum N1 commanded by the A/T during all flight conditions to ensure safe penetration;3;Flight management, navigation
255;LNAV modifications include:;Adding and deleting waypoints;Linking discontinuities;Intercepting a course;All of the answers are correct;4;Flight management, navigation
256;"In the FMC a lateral offset may be specified up to 99.9nm. Some legs are
invalid for offset, one of these is:";The beginning of a flight plan waypoint;Route discontinuity;A PPOS holding pattern;Course change greater than 90°;2;Flight management, navigation
257;During cruise the primary FMC pages are:;RTE LEGS, PROGRESS, CRZ and INTC CRS;FMC NAV, PROGRESS and CRZ;RTE LEGS, PROGRESS and CRZ;NAV STATUS, PROGRESS and RTE LEGS;3;Flight management, navigation
258;The Vref speeds displayed on the APPROACH REF page:;Cannot be updated directly from the crew;Speeds are based on a calculated gross weight;"Once selected will not be updated unless deleted or
different speeds is entered";"Double line selection will remove the Vref speed from the
airspeed display";3;Flight management, navigation
259;The HOLD page:;Is used to enter a holding pattern into the route;"Entries make route modifications, which can be erased or
executed";Has two version possible (Left or Right turn);All of the answers are correct;4;Flight management, navigation
260;The FMC advisory message BUFFET ALERT indicates.;"Current conditions result in maneuver margin less than
specified";"Clear air turbulence has been detected in the immediate
flight path";The aeroplane is in partial or full stall;The aeroplane is well within the maneuver margin;1;Flight management, navigation
261;The FMC alerting message SELECT MODE AFTER RTA means:;The RTA mode has been discontinued due to sequencing of the RTA waypoints;The RTA time does not fall within the earliest and the latest takeoff time;The RTA mode has been discontinued because another RTA waypoint has been added to the flight plan;The RTA mode is no longer available;1;Flight management, navigation
262;After RTA waypoint entry the displayed ETA is based on:;The proposed flight plan;"Performance parameters at the same time of waypoint
entry";Desired RTA and may not be overwritten;ECON CRZ Speed;2;Flight management, navigation
263;"Speed restrictions (SPD REST) displays the most restrictive of the following
speeds:";Destination aerodrome speed minus 5kt;Waypoint speed restriction if greater than 200kt;Minimum flaps up maneuvering speed;Minimum flaps retraction speed;3;Flight management, navigation
264;"Which of the following parameters related to present vertical path do the
vertical path parameters (FPA, V/B, V/S) display?";"FPA - actual flight path angle based on flight path ground
speed and vertical speed";"V/B - vertical bearing direct from the present position on
the WPT/ALT line";V/S - the required vertical speed to fly the displayed FPA;Blank line if there is no entry on the E/D ALT line;2;Flight management, navigation
265;"When aeroplane GROSS WT is not available from the FMC, the APPROACH
Ref page display will be:";Flashing;Blank;Box prompts;Invalid;3;Flight management, navigation
266;What information is available with the IRS mode selector in ATT?;Only position and ground speed information;Only heading information;Only attitude and heading information;Only attitude information;3;Flight management, navigation
267;Normal IRS alignment is initiated by rotating the MSU switch from OFF to:;ALIGN;NAV;ATT;ON;2;Flight management, navigation
268;When the IRS are operating in the normal navigation mode they provide:;Attitude, true and magnetic heading;Acceleration, vertical speed and ground speed;Track, present position and wind data;All of the answers are correct;4;Flight management, navigation
269;A fast realignment should be completed in:;30 sec;1 min;5 min;10 min;1;Flight management, navigation
270;When does an IRS enter the NAV mode?;"The mode selector is moved from OFF to ALIGN and
10min have elapsed";"The mode selector is in NAV, present position entered and
the alignment cycle is complete";"The mode selector is moved from ATT to NAV and
alignment is complete";"When all of the information are available for the normal
operations in the ALIGN mode";2;Flight management, navigation
271;Which of the following is not a major component of the Inertial System?;Air data inertial reference units (ADIRU);Inertial system display unit (ISDU);Instrument display unit (IDU);Mode selector unit (MSU);3;Flight management, navigation
272;If the FAULT light on the IRS MSU illuminates, it indicate:;The IRS is not in ALIGN mode;An entry of invalid present position;"A system fault affecting the related IRS ATT and/or NAV
mode has been detected";That DC power for the respective IRS is not normal;3;Flight management, navigation
273;Flashing ALIGN lights on the IRS MSU indicates:;"Alignment cannot be complete until the present position is
entered";That the aeroplane has been moved;The IRSs have entered the ATT mode;The IRSs are in the ALIGN mode;1;Flight management, navigation
274;On which CDU page is the FMC and IRS ground speed displayed?;PROGRESS page 1;CRZ page;POS REF page 2/3;POS INIT page 1;3;Flight management, navigation
275;"An entry of .720 for descend into the TGT SPD line on the ACT ECON SPD
DES page will:";Change the descent mode to a M.720 PATH DES;Change the title to display ACT M.720 SPD DES;Result in VNAV disengagement;Result in VNAV and LNAV disengagement;2;Flight management, navigation
276;Valid entries in the VIA column on the RTE page include:;DIRECT;TO;DEPARTURES;ARRIVALS;1;Flight management, navigation
277;"When the FMC is not receiving the required fuel data from fuel quantity
indication system dashes are displayed and a manual entry is possible.";True;False;;;1;Flight management, navigation
278;"On the RTE page, the origin aerodrome must be entered if the company route
is entered.";True;False;;;2;Flight management, navigation
279;Pushing the ACTIVATE key arms the route for execution as active route.;True;False;;;1;Flight management, navigation
280;"Selection of an approach or runway from an ARRIVALS page will automatically
delete a previously selected approach or runway.";True;False;;;1;Flight management, navigation
281;Arrivals can be selected on FMC for either the origin or destination aerodrome.;True;False;;;1;Flight management, navigation
282;"On the FIX INFO page, RAD/DIS FR displays the radial and distance from the fix to the aeroplane. This information is continually updated as the aeroplane
position changes.";True;False;;;1;Flight management, navigation
